Day	Date 	  Open   	  High   	  Low   	  Close   
Thursday	10-Aug-00	" 1,345.25 "	" 1,360.40 "	" 1,325.15 "	" 1,328.00 "
Friday	11-Aug-00	" 1,328.15 "	" 1,328.15 "	" 1,306.60 "	" 1,310.75 "
Monday	14-Aug-00	" 1,312.25 "	" 1,321.55 "	" 1,295.45 "	" 1,317.90 "
Wednesday	16-Aug-00	" 1,319.35 "	" 1,354.95 "	" 1,319.35 "	" 1,351.45 "
Thursday	17-Aug-00	" 1,351.50 "	" 1,363.05 "	" 1,334.95 "	" 1,341.40 "
Friday	18-Aug-00	" 1,342.00 "	" 1,360.65 "	" 1,339.05 "	" 1,358.05 "
Monday	21-Aug-00	" 1,358.75 "	" 1,374.50 "	" 1,358.75 "	" 1,370.25 "
Tuesday	22-Aug-00	" 1,370.75 "	" 1,394.90 "	" 1,370.75 "	" 1,381.20 "
Wednesday	23-Aug-00	" 1,381.60 "	" 1,398.90 "	" 1,376.90 "	" 1,386.05 "
Thursday	24-Aug-00	" 1,386.30 "	" 1,390.45 "	" 1,374.90 "	" 1,386.95 "
Friday	25-Aug-00	" 1,387.35 "	" 1,396.10 "	" 1,377.75 "	" 1,381.25 "
Monday	28-Aug-00	" 1,379.60 "	" 1,383.45 "	" 1,368.25 "	" 1,369.85 "
Tuesday	29-Aug-00	" 1,368.65 "	" 1,373.55 "	" 1,360.65 "	" 1,367.70 "
Wednesday	30-Aug-00	" 1,369.90 "	" 1,384.85 "	" 1,369.80 "	" 1,375.95 "
Thursday	31-Aug-00	" 1,376.50 "	" 1,397.30 "	" 1,375.90 "	" 1,394.10 "
Monday	4-Sep-00	" 1,395.95 "	" 1,433.15 "	" 1,395.95 "	" 1,427.75 "
Tuesday	5-Sep-00	" 1,428.05 "	" 1,434.65 "	" 1,420.90 "	" 1,428.25 "
Wednesday	6-Sep-00	" 1,430.90 "	" 1,444.45 "	" 1,421.00 "	" 1,435.35 "
Thursday	7-Sep-00	" 1,434.70 "	" 1,450.20 "	" 1,424.35 "	" 1,439.75 "
Friday	8-Sep-00	" 1,440.60 "	" 1,453.15 "	" 1,440.60 "	" 1,450.05 "
Monday	11-Sep-00	" 1,449.35 "	" 1,469.00 "	" 1,448.95 "	" 1,456.35 "
Tuesday	12-Sep-00	" 1,457.10 "	" 1,470.55 "	" 1,447.80 "	" 1,467.65 "
Wednesday	13-Sep-00	" 1,467.65 "	" 1,482.00 "	" 1,452.60 "	" 1,456.15 "
Thursday	14-Sep-00	" 1,456.75 "	" 1,466.65 "	" 1,437.85 "	" 1,445.30 "
Friday	15-Sep-00	" 1,443.25 "	" 1,451.05 "	" 1,411.55 "	" 1,417.20 "
Monday	18-Sep-00	" 1,416.05 "	" 1,416.05 "	" 1,352.10 "	" 1,354.35 "
Tuesday	19-Sep-00	" 1,351.80 "	" 1,361.70 "	" 1,295.30 "	" 1,317.00 "
Wednesday	20-Sep-00	" 1,317.80 "	" 1,351.10 "	" 1,311.10 "	" 1,342.90 "
Thursday	21-Sep-00	" 1,341.65 "	" 1,347.40 "	" 1,325.75 "	" 1,329.85 "
Friday	22-Sep-00	" 1,329.10 "	" 1,329.10 "	" 1,261.20 "	" 1,266.45 "
Monday	25-Sep-00	" 1,268.40 "	" 1,305.10 "	" 1,268.40 "	" 1,292.55 "
Tuesday	26-Sep-00	" 1,292.90 "	" 1,298.25 "	" 1,261.00 "	" 1,267.90 "
Wednesday	27-Sep-00	" 1,267.45 "	" 1,299.00 "	" 1,249.35 "	" 1,292.55 "
Thursday	28-Sep-00	" 1,292.40 "	" 1,302.75 "	" 1,260.80 "	" 1,266.40 "
Friday	29-Sep-00	" 1,267.30 "	" 1,284.15 "	" 1,264.40 "	" 1,271.65 "
Tuesday	3-Oct-00	" 1,270.75 "	" 1,288.15 "	" 1,254.35 "	" 1,282.00 "
Wednesday	4-Oct-00	" 1,281.45 "	" 1,300.05 "	" 1,275.80 "	" 1,297.80 "
Thursday	5-Oct-00	" 1,296.10 "	" 1,306.45 "	" 1,282.50 "	" 1,284.75 "
Friday	6-Oct-00	" 1,284.35 "	" 1,287.85 "	" 1,262.65 "	" 1,285.00 "
Monday	9-Oct-00	" 1,285.05 "	" 1,286.35 "	" 1,264.20 "	" 1,267.30 "
Tuesday	10-Oct-00	" 1,268.70 "	" 1,272.75 "	" 1,230.05 "	" 1,238.95 "
Wednesday	11-Oct-00	" 1,232.85 "	" 1,234.10 "	" 1,193.80 "	" 1,201.90 "
Thursday	12-Oct-00	" 1,201.30 "	" 1,214.35 "	" 1,185.10 "	" 1,206.25 "
Friday	13-Oct-00	" 1,205.70 "	" 1,205.70 "	" 1,167.50 "	" 1,176.75 "
Monday	16-Oct-00	" 1,177.85 "	" 1,228.80 "	" 1,173.35 "	" 1,175.45 "
Tuesday	17-Oct-00	" 1,174.30 "	" 1,174.30 "	" 1,140.60 "	" 1,158.05 "
Wednesday	18-Oct-00	" 1,157.05 "	" 1,157.05 "	" 1,122.80 "	" 1,136.00 "
Thursday	19-Oct-00	" 1,135.65 "	" 1,171.50 "	" 1,108.20 "	" 1,166.15 "
Friday	20-Oct-00	" 1,166.20 "	" 1,202.70 "	" 1,166.20 "	" 1,172.00 "
Monday	23-Oct-00	" 1,171.75 "	" 1,172.15 "	" 1,141.45 "	" 1,143.95 "
Tuesday	24-Oct-00	" 1,143.00 "	" 1,155.35 "	" 1,132.90 "	" 1,152.45 "
Wednesday	25-Oct-00	" 1,158.20 "	" 1,190.40 "	" 1,157.25 "	" 1,183.90 "
Thursday	26-Oct-00	" 1,182.80 "	" 1,188.20 "	" 1,176.60 "	" 1,186.30 "
Friday	27-Oct-00	" 1,186.95 "	" 1,192.90 "	" 1,171.85 "	" 1,178.70 "
Monday	30-Oct-00	" 1,178.75 "	" 1,185.80 "	" 1,164.25 "	" 1,167.15 "
Tuesday	31-Oct-00	" 1,167.20 "	" 1,175.60 "	" 1,155.15 "	" 1,172.75 "
Wednesday	1-Nov-00	" 1,178.25 "	" 1,203.85 "	" 1,177.10 "	" 1,200.80 "
Thursday	2-Nov-00	" 1,201.25 "	" 1,226.35 "	" 1,199.75 "	" 1,224.85 "
Friday	3-Nov-00	" 1,225.00 "	" 1,249.20 "	" 1,225.00 "	" 1,242.05 "
Monday	6-Nov-00	" 1,242.15 "	" 1,261.40 "	" 1,236.65 "	" 1,240.25 "
Tuesday	7-Nov-00	" 1,239.00 "	" 1,249.10 "	" 1,232.35 "	" 1,246.75 "
Wednesday	8-Nov-00	" 1,246.65 "	" 1,277.25 "	" 1,246.65 "	" 1,266.80 "
Thursday	9-Nov-00	" 1,266.75 "	" 1,275.55 "	" 1,255.95 "	" 1,269.95 "
Friday	10-Nov-00	" 1,271.35 "	" 1,271.40 "	" 1,237.50 "	" 1,239.55 "
Monday	13-Nov-00	" 1,239.35 "	" 1,239.35 "	" 1,199.95 "	" 1,208.05 "
Tuesday	14-Nov-00	" 1,207.20 "	" 1,246.90 "	" 1,207.05 "	" 1,242.85 "
Wednesday	15-Nov-00	" 1,245.00 "	" 1,270.10 "	" 1,243.20 "	" 1,247.05 "
Thursday	16-Nov-00	" 1,246.60 "	" 1,254.55 "	" 1,228.60 "	" 1,233.25 "
Friday	17-Nov-00	" 1,232.35 "	" 1,238.00 "	" 1,216.90 "	" 1,236.00 "
Monday	20-Nov-00	" 1,236.00 "	" 1,241.75 "	" 1,231.05 "	" 1,237.60 "
Tuesday	21-Nov-00	" 1,236.95 "	" 1,237.85 "	" 1,224.30 "	" 1,235.00 "
Wednesday	22-Nov-00	" 1,235.85 "	" 1,247.50 "	" 1,220.05 "	" 1,222.35 "
Thursday	23-Nov-00	" 1,221.20 "	" 1,223.05 "	" 1,209.85 "	" 1,216.00 "
Friday	24-Nov-00	" 1,216.05 "	" 1,230.00 "	" 1,216.05 "	" 1,225.20 "
Monday	27-Nov-00	" 1,225.40 "	" 1,254.45 "	" 1,225.35 "	" 1,252.90 "
Tuesday	28-Nov-00	" 1,252.90 "	" 1,275.45 "	" 1,248.90 "	" 1,272.75 "
Wednesday	29-Nov-00	" 1,272.25 "	" 1,281.00 "	" 1,253.45 "	" 1,264.75 "
Thursday	30-Nov-00	" 1,264.75 "	" 1,272.10 "	" 1,258.40 "	" 1,268.15 "
